cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret
OVCAR-8,random,5,125973.0,760766.0,5.99999978589949e-08,1.9999999949504854e-06,-10.64900016784668,82.58100128173828
OVCAR-8,random,6,125973.0,749226.0,5.99999978589949e-08,4.999999873689376e-06,-16.78499984741211,76.44500732421875
OVCAR-8,random,7,606869.0,757441.0,9.999999974752427e-07,9.999999974752427e-07,12.82800006866455,106.0580062866211
OVCAR-8,random,8,85998.0,713563.0,9.999999747378752e-05,9.999999747378752e-05,-19.92300033569336,73.3070068359375
OVCAR-8,random,9,681239.0,747973.0,3.000000106112566e-07,3.000000026176508e-09,-92.73999786376952,0.4900054931640625
OVCAR-8,tanimoto+zero,0,713563.0,761432.0,9.999999747378752e-05,4.999999858590343e-10,-62.40599822998047,30.824005126953125
OVCAR-8,tanimoto+zero,1,1390.0,713563.0,0.0001999999949475,9.999999747378752e-05,-43.05500030517578,50.17500305175781
OVCAR-8,tanimoto+zero,2,1390.0,713563.0,0.0001999999949475,9.999999747378752e-05,-43.05500030517578,50.17500305175781
OVCAR-8,tanimoto+zero,3,1390.0,713563.0,0.0001999999949475,9.999999747378752e-05,-43.05500030517578,50.17500305175781
OVCAR-8,tanimoto+zero,4,613327.0,713563.0,2.999999970665357e-10,9.999999747378752e-05,-35.17900085449219,58.051002502441406
OVCAR-8,tanimoto+zero,5,1390.0,713563.0,0.0001999999949475,9.999999747378752e-05,-43.05500030517578,50.17500305175781
OVCAR-8,tanimoto+zero,6,1390.0,713563.0,0.0001999999949475,9.999999747378752e-05,-43.05500030517578,50.17500305175781
OVCAR-8,tanimoto+zero,7,1390.0,713563.0,0.0001999999949475,9.999999747378752e-05,-43.05500030517578,50.17500305175781
OVCAR-8,tanimoto+zero,8,1390.0,713563.0,0.0001999999949475,9.999999747378752e-05,-43.05500030517578,50.17500305175781
OVCAR-8,tanimoto+zero,9,613327.0,713563.0,2.999999970665357e-10,9.999999747378752e-05,-35.17900085449219,58.051002502441406
PC-3,act_hamming+zero,0,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,act_hamming+zero,1,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,act_hamming+zero,2,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,act_hamming+zero,3,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,act_hamming+zero,4,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,act_hamming+zero,5,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,act_hamming+zero,6,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,act_hamming+zero,7,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,act_hamming+zero,8,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,act_hamming+zero,9,681239.0,750690.0,3.000000106112566e-07,1.0000000116860974e-07,-37.0,54.900001525878906
PC-3,hamming+zero,0,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,hamming+zero,1,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,hamming+zero,2,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,hamming+zero,3,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,hamming+zero,4,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,hamming+zero,5,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,hamming+zero,6,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,hamming+zero,7,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,hamming+zero,8,740.0,6396.0,9.99999993922529e-09,1.0000000116860974e-07,-31.86000061035156,60.040000915527344
PC-3,hamming+zero,9,681239.0,750690.0,3.000000106112566e-07,1.0000000116860974e-07,-37.0,54.900001525878906
PC-3,linear_curve,0,681239.0,750690.0,3.000000106112566e-07,1.0000000116860974e-07,-37.0,54.900001525878906
PC-3,linear_curve,1,125973.0,681239.0,3.000000106112566e-07,3.000000106112566e-07,-91.4499969482422,0.4500045776367187
PC-3,linear_curve,2,24559.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-82.56999969482422,9.330001831054688
PC-3,linear_curve,3,125973.0,681239.0,3.000000106112566e-07,3.000000106112566e-07,-91.4499969482422,0.4500045776367187
PC-3,linear_curve,4,24559.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-82.56999969482422,9.330001831054688
PC-3,linear_curve,5,681239.0,747599.0,3.000000106112566e-07,9.99999993922529e-09,-51.59000015258789,40.310001373291016
PC-3,linear_curve,6,369100.0,681239.0,7.000000024071085e-10,3.000000106112566e-07,-91.9000015258789,0.0
PC-3,linear_curve,7,369100.0,681239.0,7.000000024071085e-10,3.000000106112566e-07,-91.9000015258789,0.0
PC-3,linear_curve,8,369100.0,681239.0,7.000000024071085e-10,3.000000106112566e-07,-91.9000015258789,0.0
PC-3,linear_curve,9,125973.0,681239.0,3.000000106112566e-07,3.000000106112566e-07,-91.4499969482422,0.4500045776367187
PC-3,ours+zero,0,123127.0,681239.0,4.999999987376214e-07,3.000000106112566e-07,-91.41999816894533,0.4800033569335937
PC-3,ours+zero,1,673596.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-76.30000305175781,15.599998474121094
PC-3,ours+zero,2,673596.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-76.30000305175781,15.599998474121094
PC-3,ours+zero,3,673596.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-76.30000305175781,15.599998474121094
PC-3,ours+zero,4,673596.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-76.30000305175781,15.599998474121094
PC-3,ours+zero,5,24559.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-82.56999969482422,9.330001831054688
PC-3,ours+zero,6,24559.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-82.56999969482422,9.330001831054688
PC-3,ours+zero,7,750.0,92859.0,4.999999873689376e-05,6.000000212225132e-06,-39.7599983215332,52.1400032043457
PC-3,ours+zero,8,24559.0,681239.0,9.999999974752427e-07,3.000000106112566e-07,-82.56999969482422,9.330001831054688
PC-3,ours+zero,9,123127.0,681239.0,4.999999987376214e-07,3.000000106112566e-07,-91.41999816894533,0.4800033569335937
PC-3,random,0,24559.0,606869.0,9.999999974752427e-07,9.999999717180683e-10,-7.480000019073486,84.41999816894531
PC-3,random,1,279836.0,761432.0,4.999999987376214e-07,4.999999858590343e-10,28.219999313354492,120.12000274658205
PC-3,random,2,713563.0,719344.0,9.999999747378752e-05,2.999999892949745e-08,21.38999938964844,113.29000091552734
PC-3,random,3,38721.0,754143.0,2.0000000233721948e-07,9.99999993922529e-09,-19.3700008392334,72.52999877929688
PC-3,random,4,125066.0,608210.0,9.99999993922529e-09,9.999999974752427e-07,7.859000205993652,99.75900268554688
PC-3,random,5,740.0,32065.0,1.0000000116860974e-07,2.0000000233721948e-07,-8.640000343322754,83.26000213623047
PC-3,random,6,279836.0,737754.0,4.999999987376214e-07,1.0000000116860974e-07,27.4950008392334,119.39500427246094
PC-3,random,7,745750.0,754230.0,2.999999892949745e-08,5.999999802552836e-11,-6.289999961853027,85.61000061035156
PC-3,random,8,141540.0,754143.0,5.000000058430487e-08,9.99999993922529e-09,-4.796000003814697,87.10400390625
PC-3,random,9,681239.0,750690.0,3.000000106112566e-07,1.0000000116860974e-07,-37.0,54.900001525878906
PC-3,tanimoto+zero,0,24559.0,606869.0,9.999999974752427e-07,9.999999717180683e-10,-7.480000019073486,84.42000150680542
PC-3,tanimoto+zero,1,750.0,92859.0,4.999999873689376e-05,6.000000212225132e-06,-39.7599983215332,52.1400032043457
PC-3,tanimoto+zero,2,754143.0,754230.0,1.000000013351432e-10,5.999999976025183e-12,-0.9200000166893004,90.9800015091896
PC-3,tanimoto+zero,3,754143.0,754230.0,1.000000013351432e-10,5.999999976025183e-12,-0.9200000166893004,90.9800015091896
PC-3,tanimoto+zero,4,745750.0,754230.0,3.000000106112566e-06,5.999999976025183e-12,-5.880000114440918,86.02000141143799
PC-3,tanimoto+zero,5,750.0,92859.0,4.999999873689376e-05,6.000000212225132e-06,-39.7599983215332,52.1400032043457
PC-3,tanimoto+zero,6,750.0,92859.0,4.999999873689376e-05,6.000000212225132e-06,-39.7599983215332,52.1400032043457
PC-3,tanimoto+zero,7,745750.0,754230.0,2.999999892949745e-08,5.999999802552836e-11,-6.289999961853027,85.61000156402588
PC-3,tanimoto+zero,8,750.0,92859.0,4.999999873689376e-05,6.000000212225132e-06,-39.7599983215332,52.1400032043457
PC-3,tanimoto+zero,9,681239.0,750690.0,3.000000106112566e-07,1.0000000116860974e-07,-37.0,54.900001525878906
T-47D,act_hamming+zero,0,3053.0,713563.0,9.999999717180683e-10,9.999999747378752e-05,23.85300064086914,118.7930030822754
T-47D,act_hamming+zero,1,77213.0,673596.0,1.0000000116860974e-07,9.99999993922529e-09,20.469999313354492,115.41000175476074
T-47D,act_hamming+zero,2,14229.0,279836.0,3.000000106112566e-07,4.999999987376214e-07,21.253000259399418,116.19300270080566
T-47D,act_hamming+zero,3,740.0,9706.0,9.999999717180683e-10,4.999999873689376e-06,40.959999084472656,135.9000015258789
T-47D,act_hamming+zero,4,740.0,9706.0,9.999999717180683e-10,4.999999873689376e-06,40.959999084472656,135.9000015258789
T-47D,act_hamming+zero,5,740.0,9706.0,9.999999717180683e-10,4.999999873689376e-06,40.959999084472656,135.9000015258789
T-47D,act_hamming+zero,6,34462.0,256439.0,9.999999747378752e-05,9.99999993922529e-09,16.08799934387207,111.02800178527832
T-47D,act_hamming+zero,7,606869.0,747973.0,1.0000000116860974e-07,3.000000106112566e-07,15.039999961853027,109.98000240325928
T-47D,act_hamming+zero,8,628503.0,763371.0,2.999999892949745e-08,9.999999747378752e-06,28.135000228881836,123.07500267028809
T-47D,act_hamming+zero,9,79037.0,279836.0,4.999999873689376e-05,4.999999987376214e-07,38.91999816894531,133.86000061035156
T-47D,hamming+zero,0,3053.0,713563.0,9.999999717180683e-10,9.999999747378752e-05,23.85300064086914,118.7930030822754
T-47D,hamming+zero,1,77213.0,673596.0,1.0000000116860974e-07,9.99999993922529e-09,20.469999313354492,115.41000175476074
T-47D,hamming+zero,2,14229.0,279836.0,3.000000106112566e-07,4.999999987376214e-07,21.253000259399418,116.19300270080566
T-47D,hamming+zero,3,740.0,9706.0,9.999999717180683e-10,4.999999873689376e-06,40.959999084472656,135.9000015258789
T-47D,hamming+zero,4,740.0,9706.0,9.999999717180683e-10,4.999999873689376e-06,40.959999084472656,135.9000015258789
T-47D,hamming+zero,5,740.0,9706.0,9.999999717180683e-10,4.999999873689376e-06,40.959999084472656,135.9000015258789
T-47D,hamming+zero,6,34462.0,256439.0,9.999999747378752e-05,9.99999993922529e-09,16.08799934387207,111.02800178527832
T-47D,hamming+zero,7,606869.0,747973.0,1.0000000116860974e-07,3.000000106112566e-07,15.039999961853027,109.98000240325928
T-47D,hamming+zero,8,628503.0,763371.0,2.999999892949745e-08,9.999999747378752e-06,28.135000228881836,123.07500267028809
T-47D,hamming+zero,9,79037.0,279836.0,4.999999873689376e-05,4.999999987376214e-07,38.91999816894531,133.86000061035156
T-47D,linear_curve,0,718781.0,754143.0,2.0000000233721948e-07,9.99999993922529e-09,-74.9000015258789,20.040000915527344
T-47D,linear_curve,1,24559.0,606869.0,9.999999974752427e-07,1.0000000116860974e-07,-76.72000122070312,18.220001220703125
T-47D,linear_curve,2,681239.0,719276.0,3.000000106112566e-07,3.999999975690116e-08,-92.1999969482422,2.7400054931640625
T-47D,linear_curve,3,673596.0,681239.0,9.99999993922529e-09,2.999999892949745e-08,-88.95999908447266,5.980003356933594
T-47D,linear_curve,4,681239.0,719276.0,3.000000106112566e-07,3.999999975690116e-08,-92.1999969482422,2.7400054931640625
T-47D,linear_curve,5,125973.0,681239.0,3.000000026176508e-09,3.000000106112566e-07,-94.94000244140624,0.0
T-47D,linear_curve,6,180973.0,754143.0,7.000000096013537e-06,9.99999993922529e-09,-90.9800033569336,3.959999084472656
T-47D,linear_curve,7,246131.0,701852.0,1.9999999494757503e-05,9.999999974752427e-07,-80.47000122070312,14.470001220703123
T-47D,linear_curve,8,681239.0,750690.0,3.000000106112566e-07,1.0000000116860974e-07,-92.1999969482422,2.7400054931640625
T-47D,linear_curve,9,246131.0,701852.0,1.9999999494757503e-05,9.999999974752427e-07,-80.47000122070312,14.470001220703123
T-47D,ours+zero,0,673596.0,681239.0,9.99999993922529e-09,2.999999892949745e-08,-88.95999908447266,5.980003356933594
T-47D,ours+zero,1,673596.0,681239.0,9.99999993922529e-09,2.999999892949745e-08,-88.95999908447266,5.980003356933594
T-47D,ours+zero,2,673596.0,681239.0,9.99999993922529e-09,2.999999892949745e-08,-88.95999908447266,5.980003356933594
T-47D,ours+zero,3,673596.0,681239.0,9.99999993922529e-09,2.999999892949745e-08,-88.95999908447266,5.980003356933594
T-47D,ours+zero,4,673596.0,681239.0,9.99999993922529e-09,2.999999892949745e-08,-88.95999908447266,5.980003356933594
T-47D,ours+zero,5,673596.0,681239.0,9.99999993922529e-09,2.999999892949745e-08,-88.95999908447266,5.980003356933594
T-47D,ours+zero,6,673596.0,681239.0,9.99999993922529e-09,2.999999892949745e-08,-88.95999908447266,5.980003356933594
T-47D,ours+zero,7,180973.0,754143.0,7.000000096013537e-06,9.99999993922529e-09,-90.9800033569336,3.959999084472656
T-47D,ours+zero,8,180973.0,754143.0,7.000000096013537e-06,9.99999993922529e-09,-90.9800033569336,3.959999084472656
T-47D,ours+zero,9,673596.0,681239.0,9.99999993922529e-09,2.999999892949745e-08,-88.95999908447266,5.980003356933594
T-47D,random,0,66847.0,747973.0,9.999999747378752e-06,3.000000106112566e-07,-31.18000030517578,63.76000213623047
T-47D,random,1,750.0,681239.0,4.999999987376214e-07,3.000000106112566e-07,-89.12999725341797,5.810005187988281
T-47D,random,2,26980.0,246131.0,4.999999969612645e-09,1.9999999494757503e-05,-32.7599983215332,62.18000411987305
T-47D,random,3,755.0,747973.0,1.999999987845058e-08,3.000000106112566e-07,8.890000343322754,103.83000183105467
T-47D,random,4,256942.0,673596.0,1.0000000116860974e-07,9.99999993922529e-09,18.933000564575195,113.8730010986328
T-47D,random,5,719344.0,761432.0,3.000000026176508e-09,5.000000058430487e-08,13.937000274658203,108.8769989013672
T-47D,random,6,681239.0,761432.0,4.999999858590343e-10,5.000000058430487e-08,11.574000358581545,106.51399993896484
T-47D,random,7,606869.0,747973.0,1.0000000116860974e-07,3.000000106112566e-07,15.039999961853027,109.9800033569336
T-47D,random,8,218321.0,246131.0,9.999999974752427e-07,1.9999999949504854e-06,15.40999984741211,110.35000610351562
T-47D,random,9,45388.0,125973.0,4.999999987376214e-07,5.99999978589949e-08,29.951000213623047,124.89100646972656
T-47D,tanimoto+zero,0,3053.0,713563.0,9.999999717180683e-10,9.999999747378752e-05,23.85300064086914,118.7930030822754
T-47D,tanimoto+zero,1,67574.0,713563.0,3.000000026176508e-09,9.999999747378752e-05,12.609999656677246,107.5500020980835
T-47D,tanimoto+zero,2,14229.0,279836.0,3.000000106112566e-07,4.999999987376214e-07,21.253000259399418,116.19300270080566
T-47D,tanimoto+zero,3,67574.0,713563.0,3.000000026176508e-09,9.999999747378752e-05,12.609999656677246,107.5500020980835
T-47D,tanimoto+zero,4,125066.0,673596.0,9.99999993922529e-09,9.99999993922529e-09,42.40999984741211,137.35000228881836
T-47D,tanimoto+zero,5,67574.0,713563.0,3.000000026176508e-09,9.999999747378752e-05,12.609999656677246,107.5500020980835
