cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret,source
PC-3,bocs_sparse,3,24559,49842,9.999999974752427e-07,3.000000026176508e-09,7.230000019073486,99.13000154495239,bo_selection
PC-3,combo_diffusion,4,125066,608210,9.99999993922529e-09,9.999999974752427e-07,7.859000205993652,99.75900173187256,bo_selection
PC-3,bocs_sparse,4,125066,608210,9.99999993922529e-09,9.999999974752427e-07,7.859000205993652,99.75900173187256,bo_selection
PC-3,combo_diffusion,5,226080,256439,9.99999993922529e-09,1.000000013351432e-10,50.582000732421875,142.48200225830078,bo_selection
PC-3,bocs_sparse,5,226080,608210,5.000000058430487e-08,9.999999974752427e-07,-13.628000259399414,78.27200126647949,bo_selection
PC-3,combo_diffusion,6,34462,713563,4.999999873689376e-05,9.99999993922529e-09,52.32400131225586,144.22400283813477,bo_selection
PC-3,bocs_sparse,6,127716,747973,3.000000106112566e-07,2.999999892949745e-08,4.369999885559082,96.27000141143799,bo_selection
PC-3,combo_diffusion,7,740,1390,1.0000000116860974e-07,1.0000000116860974e-07,-19.56999969482422,72.33000183105469,bo_selection
PC-3,bocs_sparse,7,745750,754230,2.999999892949745e-08,5.999999802552836e-11,-6.289999961853027,85.61000156402588,bo_selection
PC-3,combo_diffusion,8,92859,745750,6.000000212225132e-06,3.000000106112566e-07,1.2899999618530273,93.19000148773193,bo_selection
PC-3,bocs_sparse,8,92859,719345,6.000000212225132e-06,4.0000000467443897e-07,1.440000057220459,93.34000158309937,bo_selection
PC-3,combo_diffusion,9,681239,750690,3.000000106112566e-07,1.0000000116860974e-07,-37.0,54.900001525878906,bo_selection
PC-3,bocs_sparse,9,681239,750690,3.000000106112566e-07,1.0000000116860974e-07,-37.0,54.900001525878906,bo_selection
T-47D,combo_diffusion,0,105014,713563,1.999999943436137e-09,9.999999747378752e-05,15.027999877929688,109.96800231933594,bo_selection
T-47D,bocs_sparse,0,712807,713563,9.999999747378752e-06,9.999999747378752e-05,11.809000015258789,106.74900245666504,bo_selection
T-47D,combo_diffusion,1,256942,673596,1.0000000116860974e-07,9.99999993922529e-09,18.933000564575195,113.87300300598145,bo_selection
T-47D,bocs_sparse,1,719344,761432,3.000000026176508e-09,5.000000058430487e-08,13.937000274658203,108.87700271606445,bo_selection
T-47D,combo_diffusion,2,752,761432,9.999999747378752e-06,5.000000058430487e-08,2.3489999771118164,97.28900241851807,bo_selection
T-47D,bocs_sparse,2,713563,719345,9.999999747378752e-05,3.000000106112566e-07,11.28499984741211,106.22500228881836,bo_selection
T-47D,combo_diffusion,3,9706,673596,4.999999987376214e-07,9.99999993922529e-09,42.619998931884766,137.56000137329102,bo_selection
T-47D,bocs_sparse,3,719344,761432,3.000000026176508e-09,5.000000058430487e-08,13.937000274658203,108.87700271606445,bo_selection
T-47D,combo_diffusion,4,125066,673596,9.99999993922529e-09,9.99999993922529e-09,42.40999984741211,137.35000228881836,bo_selection
T-47D,bocs_sparse,4,606869,761432,1.0000000116860974e-07,5.000000058430487e-08,12.826000213623047,107.7660026550293,bo_selection
T-47D,combo_diffusion,5,180973,761432,3.000000106112566e-06,4.999999969612645e-09,22.583999633789062,117.52400207519531,bo_selection
T-47D,bocs_sparse,5,49842,71423,5.000000058430487e-08,3.000000106112566e-06,15.869999885559082,110.81000232696533,bo_selection
T-47D,combo_diffusion,6,681239,750690,3.000000106112566e-07,1.0000000116860974e-07,-92.19999694824219,2.7400054931640625,bo_selection
T-47D,bocs_sparse,6,34462,256439,9.999999747378752e-05,9.99999993922529e-09,16.08799934387207,111.02800178527832,bo_selection
