dataset,cell_line,row_kind,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret,pool_optimum_percent_growth,chose_pool_optimum,best_step,n_replicates,pool_index,source_pool_index,pool_size,pool_size_full,n_init,n_iter
almanac,SN12C,bo_selection,linear_curve,7,34462,754143,4.999999873689376e-05,9.99999993922529e-09,-88.677001953125,2.292999267578125,-90.97000122070312,False,19,1,1533,17792,4000,46508,10,20
almanac,SN12C,bo_selection,linear_curve,8,34462,754143,4.999999873689376e-05,9.99999993922529e-09,-88.677001953125,2.292999267578125,-90.97000122070312,False,12,1,1533,17792,4000,46508,10,20
almanac,SN12C,bo_selection,linear_curve,9,34462,754143,4.999999873689376e-05,9.99999993922529e-09,-88.677001953125,2.292999267578125,-90.97000122070312,False,17,1,1533,17792,4000,46508,10,20
almanac,SN12C,bo_selection,ours+zero,0,123127,246131,4.999999987376214e-07,1.9999999494757503e-05,-62.0,28.970001220703125,-90.97000122070312,False,17,1,2652,30473,4000,46508,10,20
almanac,SN12C,bo_selection,ours+zero,1,256439,754143,9.99999993922529e-09,9.99999993922529e-09,-49.625,41.345001220703125,-90.97000122070312,False,25,1,3170,36438,4000,46508,10,20
almanac,SN12C,bo_selection,ours+zero,2,26980,754143,5.000000058430487e-08,9.99999993922529e-09,-90.97000122070312,0.0,-90.97000122070312,True,12,1,1351,15575,4000,46508,10,20
almanac,SN12C,bo_selection,ours+zero,3,24559,606869,9.999999974752427e-07,1.0000000116860974e-07,-64.94000244140625,26.029998779296875,-90.97000122070312,False,17,1,1122,13031,4000,46508,10,20
almanac,SN12C,bo_selection,ours+zero,4,256439,754143,9.99999993922529e-09,9.99999993922529e-09,-49.625,41.345001220703125,-90.97000122070312,False,19,1,3170,36438,4000,46508,10,20
almanac,SN12C,bo_selection,ours+zero,5,141540,606869,5.000000058430487e-08,9.999999974752427e-07,-35.60300064086914,55.367000579833984,-90.97000122070312,False,28,1,2862,32987,4000,46508,10,20
almanac,SN12C,bo_selection,ours+zero,6,24559,606869,9.999999974752427e-07,1.0000000116860974e-07,-64.94000244140625,26.029998779296875,-90.97000122070312,False,12,1,1122,13031,4000,46508,10,20
almanac,SN12C,bo_selection,ours+zero,7,34462,754143,4.999999873689376e-05,9.99999993922529e-09,-88.677001953125,2.292999267578125,-90.97000122070312,False,22,1,1533,17792,4000,46508,10,20
almanac,SN12C,bo_selection,ours+zero,8,279836,733504,4.999999987376214e-07,6.000000052353016e-09,-60.16899871826172,30.801002502441406,-90.97000122070312,False,12,1,3264,37572,4000,46508,10,20
almanac,SN12C,bo_selection,ours+zero,9,26980,105014,4.999999987376214e-07,9.999999974752427e-07,-38.31999969482422,52.650001525878906,-90.97000122070312,False,11,1,1300,15047,4000,46508,10,20
almanac,SN12C,bo_selection,random,0,105014,719627,9.999999974752427e-07,4.999999873689376e-06,-50.68000030517578,40.290000915527344,-90.97000122070312,False,23,1,2368,27386,4000,46508,10,20
almanac,SN12C,bo_selection,random,1,279836,747971,4.999999987376214e-07,1.0000000116860974e-07,-52.43600082397461,38.534000396728516,-90.97000122070312,False,19,1,3267,37616,4000,46508,10,20
